City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,papatowai,-46.5619,169.4708,6.19,77,29,3.7,NZ,1722891881
83,howrah,22.5892,88.3103,28.0,94,40,1.54,IN,1722891882
84,aasiaat,68.7098,-52.8699,4.12,88,63,1.82,GL,1722891883
85,kongolo,-5.3833,27.0,25.42,23,5,1.23,CD,1722891734
86,nemuro,43.3236,145.575,16.95,99,91,2.0,JP,1722891871
87,codrington,-38.2667,141.9667,6.17,95,100,5.86,AU,1722891887
88,talnakh,69.4865,88.3972,7.91,70,19,1.54,RU,1722891888
89,rongelap,11.1635,166.8941,28.2,78,100,6.37,MH,1722891889
90,hwange,-18.3693,26.5019,20.08,19,0,0.79,ZW,1722891890
91,ushuaia,-54.8,-68.3,-1.19,69,0,0.51,AR,1722891609
92,qarqaraly,49.4058,75.4742,15.92,53,54,2.0,KZ,1722891894
93,albany,42.6001,-73.9662,29.27,63,92,2.75,US,1722891895
94,valparaiso,-33.0393,-71.6273,11.13,100,100,2.06,CL,1722891612
95,moires,35.0532,24.8744,25.68,47,0,1.61,GR,1722891897
96,lihue,21.9789,-159.3672,29.58,69,0,4.63,US,1722891898
97,sola,-13.8833,167.55,24.78,65,65,10.59,VU,1722891899
98,kisangani,0.5167,25.2,22.91,82,88,0.97,CD,1722891900
99,invercargill,-46.4,168.35,6.68,86,82,2.24,NZ,1722891901
100,kurmuk,10.55,34.2833,19.72,94,100,1.0,SD,1722891903
101,warrnambool,-38.3833,142.4833,7.23,89,100,6.09,AU,1722891904
102,margaret river,-33.95,115.0667,16.26,86,100,8.26,AU,1722891905
103,ribeira grande,38.5167,-28.7,25.43,88,40,5.81,PT,1722891906
104,yellowknife,62.456,-114.3525,21.9,43,75,4.12,CA,1722891907
105,barra do garcas,-15.89,-52.2567,33.32,33,0,2.06,BR,1722891672
106,ghanzi,-21.5667,21.7833,12.66,24,1,3.81,BW,1722891911
107,sinan,34.8262,126.1086,25.06,87,2,2.88,KR,1722891912
108,port mathurin,-19.6833,63.4167,22.46,77,12,8.26,MU,1722891913
109,la passe,45.5549,-0.8967,23.13,88,0,4.23,FR,1722891914
110,mamuju,-2.6748,118.8885,25.47,85,72,1.78,ID,1722891915
111,sassandra,4.95,-6.0833,23.29,90,97,3.16,CI,1722891916
112,maceio,-9.6658,-35.7353,22.69,94,75,1.54,BR,1722891780
113,mosjoen,65.836,13.1908,20.23,72,0,0.0,NO,1722891918
114,fort mcmurray,56.7268,-111.381,22.77,49,20,6.17,CA,1722891920
115,mount isa,-20.7333,139.5,15.87,67,100,3.6,AU,1722891921
